Airline ID,Operator,ICAO,Country,Active,Date,Location,Type,Aboard,Fatalities
1,Private,,,Y,1970-10-04,"Mahaffey, Pennsylvania",Aero Commander 500-B,2.0,2.0
1,Private,,,Y,1971-05-28,"Roanoke, Virginia",Aero Commander 680E,6.0,6.0
1,Private,,,Y,1972-09-24,"Sacramento, California",F-86 Sabrejet,1.0,0.0
1,Private,,,Y,1972-10-16,Off the Alaska coast,Cessna 310C,4.0,4.0
1,Private,,,Y,1973-08-15,"Don Don, Haiti",Norman BN-2A-6,10.0,10.0
1,Private,,,Y,1975-11-29,"Hertfordshire, England",Piper PA-23-250 Aztec,6.0,6.0
1,Private,,,Y,1977-03-04,"Tezzeron Lake, British Columbia, Canada",Pipper PA-23-250 Aztec,5.0,5.0
1,Private,,,Y,1979-08-02,"Canton, Ohio",Cessna  501 Citation,3.0,1.0
1,Private,,,Y,1982-03-19,"Leesburg, Florida",Beechcraft Bonanza F35,3.0,3.0
1,Private,,,Y,1985-12-31,"De Kalb, Texas",Douglas DC-3,9.0,7.0
1,Private,,,Y,1989-08-13,"Janice, Mississippi",Cessna 177RG,2.0,2.0
1,Private,,,Y,1991-04-04,"Marion, Pennsylvania",Piper Aerostar 601 / Bell 412SP,5.0,5.0
1,Private,,,Y,1993-04-01,"Blountville, Tennesee",Fairchild SA227-TT,4.0,4.0
1,Private,,,Y,1993-04-19,"Zwingle, Iowa",Mitsubishi MU-2B-60,8.0,8.0
1,Private,,,Y,1993-07-12,"Talladega, Alabama","Helicopter, Hughes 369HS",2.0,1.0
1,Private,,,Y,1996-04-11,"Cheyenne, Wyoming",Cessna 177B,3.0,3.0
1,Private,,,Y,1997-08-10,"100 miles SW of Kuujjuaq, Quebec, Canada",Cessna 180K,2.0,2.0
1,Private,,,Y,1997-10-12,"Monterey Bay, near PacifiGrove, California",Rutan Long EZ (experimental aircraft),1.0,1.0
1,Private,,,Y,1998-11-21,"Edgewater, Maryland",Burgess RV-6 experimental,1.0,1.0
1,Private,,,Y,1999-07-16,"Off Martha's Vineyard, Massachusetts",Piper PA-32-R301 Saratoga II HP,3.0,3.0
1,Private,,,Y,1999-07-31,"Marine City, Michigan",Beech King Air 65-A90,10.0,10.0
1,Private,,,Y,2000-10-16,"Hillsboro, Missouri",Cessna 335,3.0,3.0
1,Private,,,Y,2002-04-24,"Near Olancho, Honduras",Cessna 206G,6.0,6.0
1,Private,,,Y,2002-04-28,"Near Abakan, Russia",Mi-8 helicopter,20.0,8.0
1,Private,,,Y,2002-07-04,"San Dimas, California",Cessna 310,2.0,2.0
22,Aloha Airlines,AAH,United States,Y,1988-04-28,"Maui, Hawaii",Boeing B-737-297,95.0,1.0
24,American Airlines,AAL,United States,Y,1976-04-27,"St. Thomas, Virgin Islands",Boeing B-727-95,88.0,37.0
24,American Airlines,AAL,United States,Y,1979-05-25,"Chicago O'Hare, Illinois",McDonnell Douglas DC-10-10,271.0,271.0
24,American Airlines,AAL,United States,Y,1979-11-15,"Near Chicago, Illinois",Boeing B-727,78.0,0.0
24,American Airlines,AAL,United States,Y,1985-04-16,"Las Cruces, New Mexico",Boeing B-727-227,89.0,0.0
24,American Airlines,AAL,United States,Y,1995-12-20,"Near Buga, Valle del Cauca, Colombia",Boeing B-757-223,164.0,160.0
24,American Airlines,AAL,United States,Y,1999-06-01,"Little Rock, Arkansas",McDonnell Douglas MD-82,145.0,11.0
24,American Airlines,AAL,United States,Y,2000-11-20,"Miami, Florida",Airbus A300-600R,114.0,1.0
24,American Airlines,AAL,United States,Y,2001-09-11,"Arlington, Virginia.",Boeing B-757-223,64.0,64.0
24,American Airlines,AAL,United States,Y,2001-09-11,"New York City, New York",Boeing 767-223ER,92.0,92.0
24,American Airlines,AAL,United States,Y,2001-11-12,"Belle Harbor, Queens, New York",Airbus A-300-605R,260.0,260.0
28,Asiana Airlines,AAR,Republic of Korea,Y,1993-07-26,"Haenam, South Korea",Boeing B-737-5L9,110.0,68.0
49,Airborne Express,ABX,United States,N,1990-01-29,"Burlington, Vermont",Cessna 208B Caravan I,2.0,2.0
49,Airborne Express,ABX,United States,N,1996-12-22,"Narrows, Virginia",McDonnell Douglas DC-8-63F,6.0,6.0
76,ADC Airlines,ADK,Nigeria,N,1997-07-29,"Calabar , Nigeria",BAC One-Eleven 203AE,55.0,1.0
76,ADC Airlines,ADK,Nigeria,N,2006-10-29,"Near Abuja, Nigeria",Boeing 737-2B7,105.0,96.0
83,Adria Airways,ADR,Slovenia,Y,1975-10-30,"Near Prague, Czechoslovakia",McDonnell Douglas DC-9-32,120.0,75.0
99,Air Express,AEJ,Tanzania,N,1975-05-10,"Off Cape Paterson, Australia",Bristol 170 Freighter 21E,2.0,2.0
